feature,importance
QoA_resolution,0.6957317274651331
QoA_audio-rate,0.15809960050173513
QoA-bitrate,0.05217431782871333
QoS_bandwidth,0.020492077153734564
QoD-cpu_bigo-mips,0.014660696123644132
QoS_delay,0.013020891673797592
QoA_frame-drop,0.012571609027552052
QoS_jitter,0.009279091453998425
QoD-cpu_mhz-moy,0.007155903738343087
QoA-frame_rate,0.0062746673663145085
QoD-cpu_mhz-avg,0.00399921507100087
QoA_audio-drop,0.002383104706384616
QoD_carte-class_VGA compatible controller,0.0007905666588093524
screen_width,0.0007274177069911673
QoD-cpu_core-nbr,0.0006428774001968152
screen_height,0.0005981840100867561
screen_pixels,0.00038285995393463765
V_complexity-class,0.00021317326155612372
V_norm-bitrate,0.00021289582977708878
QoD_screen-mhz,0.00015866692411700882
V_id-video,0.00011141507553356094
V_content_Movie,9.779541937412548e-05
V_complexity,6.878324576295772e-05
screen_area,6.460558768597261e-05
QoD_ram-size,3.736269333373687e-05
QoD-ram_clock-speed,2.7459902490508377e-05
QoD-screen_blug-type_LVDS,1.7524042243423837e-05
screen_dim_h,2.652178395643695e-06
screen_dim_w,2.4227745536729027e-06
QoD_cpu-nbr,4.3522480610957315e-07
QoD_carte-class_Radeon HD 7610M,0.0
QoD_stepping,0.0
